Number,File Name,Folder Name,Main Folder,File Path
70000,אבי דרור מארח את יוסי ברגר - מחרוזת שירי תפילה,חשוון תשפ"ד,סינגלים חדשים - תשפ"ד,חשוון תשפ"ד/אבי דרור מארח את יוסי ברגר - מחרוזת שירי תפילה.mp3
70001,אידיש נחת - שבת נחת טועמיה (תקציר אלבום),חשוון תשפ"ד,סינגלים חדשים - תשפ"ד,חשוון תשפ"ד/אידיש נחת - שבת נחת טועמיה (תקציר אלבום).mp3
70002,אבי ריימי ויאיר בודנר - יזכרם (קאבר),חשוון תשפ"ד,סינגלים חדשים - תשפ"ד,חשוון תשפ"ד/אבי ריימי ויאיר בודנר - יזכרם (קאבר).mp3
70003,בני פרידמן -  מחרוזת חיזוק,חשוון תשפ"ד,סינגלים חדשים - תשפ"ד,חשוון תשפ"ד/בני פרידמן -  מחרוזת חיזוק.mp3
70004,להקת זושא - נגב את הדמעות,חשוון תשפ"ד,סינגלים חדשים - תשפ"ד,חשוון תשפ"ד/להקת זושא - נגב את הדמעות.mp3
70005,שמילי אונגר - וקרב פזורינו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/שמילי אונגר - וקרב פזורינו.mp3
70006,שמחה אברמצ'יק - ופרוש עלינו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/שמחה אברמצ'יק - ופרוש עלינו.mp3
70007,ישראל סוסנה ומחנה בני תורה - בני תורה אנחנו (שירת המונים),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/ישראל סוסנה ומחנה בני תורה - בני תורה אנחנו (שירת המונים).mp3
70008,ישעי' גרוס וארי סאמעט - מחרוזת הקפה בּ׳,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/ישעי' גרוס וארי סאמעט - מחרוזת הקפה בּ׳.mp3
70009,בני פרידמן ושלומי דסקל - בר יוחאי,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/בני פרידמן ושלומי דסקל - בר יוחאי.mp3
70010,שייע ברקו ואלי מרקוס - לחניו של מהר''ם שפירא,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/שייע ברקו ואלי מרקוס - לחניו של מהר''ם שפירא.mp3
70011,הערשי ויינברגר ונפתלי קמפה - שיח סוד,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/הערשי ויינברגר ונפתלי קמפה - שיח סוד.mp3
70012,אבישי אשל - שבחי,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אבישי אשל - שבחי.mp3
70013,מיכאל אזולאי - הושענא,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/מיכאל אזולאי - הושענא.mp3
70014,אהר'לע סאמעט - מחרוזת הורה (לייב),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אהר'לע סאמעט - מחרוזת הורה (לייב).mp3
70015,אבי לרנר - עולם הבא איז א גוטע זאך (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אבי לרנר - עולם הבא איז א גוטע זאך (קאבר).mp3
70016,פישל כהן - סוכות טאנץ,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/פישל כהן - סוכות טאנץ.mp3
70017,אבישי בדין - נפלאות,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אבישי בדין - נפלאות.mp3
70018,אילון הייטנר - והכל טוב,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אילון הייטנר - והכל טוב.mp3
70019,חיים ברוין, דוד פדר, זאב ורצברגר - עפיק,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/חיים ברוין, דוד פדר, זאב ורצברגר - עפיק.mp3
70020,דיג'יי יוסי מימון וישראלי'ק בש - אתה בחרתנו (רמיקס),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/דיג'יי יוסי מימון וישראלי'ק בש - אתה בחרתנו (רמיקס).mp3
70021,פסח איידנסון - והראנו בבנינו (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/פסח איידנסון - והראנו בבנינו (קאבר).mp3
70022,שלומי גרטנר ויונתן רזאל - הטוב (לייב),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/שלומי גרטנר ויונתן רזאל - הטוב (לייב).mp3
70023,אבי ריימי, יאיר בודנר ויניב פינטו - ותשובה ותפילה וצדקה (קאבר - יעקב שוואקי),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אבי ריימי, יאיר בודנר ויניב פינטו - ותשובה ותפילה וצדקה (קאבר - יעקב שוואקי).mp3
70024,משה דוד ווייסמנדל וארי היל - מ'גייט מאכן קידוש,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/משה דוד ווייסמנדל וארי היל - מ'גייט מאכן קידוש.mp3
70025,מוטי שטיינמץ ומקהלת נשמה - למען ידעו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/מוטי שטיינמץ ומקהלת נשמה - למען ידעו.mp3
70026,קובי ברומר וארי גולדוואג - הושענא,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/קובי ברומר וארי גולדוואג - הושענא.mp3
70027,שמוליק קליין - וטהר ליבנו,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/שמוליק קליין - וטהר ליבנו.mp3
70028,שמואל - קה שמע אביונך,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/שמואל - קה שמע אביונך.mp3
70029,אלי לוין מארח את ר' שלמה קרליבך - אני מאמין,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אלי לוין מארח את ר' שלמה קרליבך - אני מאמין.mp3
70030,אברהם פריד - הבן יקיר לי (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/אברהם פריד - הבן יקיר לי (קאבר).mp3
70031,גלעד ואפי פוטולסקי - היום הרת עולם,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/גלעד ואפי פוטולסקי - היום הרת עולם.mp3
70032,ארי היל, יואלי קליין ושייע גרוס - עינינו תלויות,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/ארי היל, יואלי קליין ושייע גרוס - עינינו תלויות.mp3
70033,יוני Z - ראש השנה Upmix,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/יוני Z - ראש השנה Upmix.mp3
70034,לוי פלקוביץ - כל נדרי (קאבר),תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/לוי פלקוביץ - כל נדרי (קאבר).mp3
70035,ישי ריבו ומרדכי בן דוד - אתה זוכר,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/ישי ריבו ומרדכי בן דוד - אתה זוכר.mp3
70036,עמירן דביר - זיידע שלי,תשרי תשפ"ד,סינגלים חדשים - תשפ"ד,תשרי תשפ"ד/עמירן דביר - זיידע שלי.mp3
